2025-03-28 09:00:36,175 - LOG - INFO - =======Option used=======
2025-03-28 15:08:36,448 - LOG - INFO - Epoch: 158/500 average psnr: 48.9778904  bestpsnr: 48.9778904, bestepoch: 158
2025-03-28 15:13:15,016 - LOG - INFO - Epoch: 160/500 average psnr: 48.9732544  bestpsnr: 48.9778904, bestepoch: 158
2025-03-28 15:17:55,260 - LOG - INFO - Epoch: 162/500 average psnr: 48.9329662  bestpsnr: 48.9778904, bestepoch: 158
2025-03-28 15:22:36,893 - LOG - INFO - Epoch: 164/500 average psnr: 48.8764767  bestpsnr: 48.9778904, bestepoch: 158
2025-03-28 15:27:14,610 - LOG - INFO - Epoch: 166/500 average psnr: 49.0143681  bestpsnr: 49.0143681, bestepoch: 166
2025-03-28 15:31:51,308 - LOG - INFO - Epoch: 168/500 average psnr: 48.9843548  bestpsnr: 49.0143681, bestepoch: 166
2025-03-28 15:36:31,174 - LOG - INFO - Epoch: 170/500 average psnr: 49.0126606  bestpsnr: 49.0143681, bestepoch: 166
2025-03-28 15:41:11,432 - LOG - INFO - Epoch: 172/500 average psnr: 49.0362450  bestpsnr: 49.0362450, bestepoch: 172
2025-03-28 15:45:49,616 - LOG - INFO - Epoch: 174/500 average psnr: 49.0429951  bestpsnr: 49.0429951, bestepoch: 174
2025-03-28 15:50:28,287 - LOG - INFO - Epoch: 176/500 average psnr: 48.9966053  bestpsnr: 49.0429951, bestepoch: 174
2025-03-28 15:55:06,088 - LOG - INFO - Epoch: 178/500 average psnr: 49.0519810  bestpsnr: 49.0519810, bestepoch: 178
2025-03-28 15:59:44,527 - LOG - INFO - Epoch: 180/500 average psnr: 48.9732666  bestpsnr: 49.0519810, bestepoch: 178
2025-03-28 16:04:27,728 - LOG - INFO - Epoch: 182/500 average psnr: 49.0551651  bestpsnr: 49.0551651, bestepoch: 182
2025-03-28 16:09:01,544 - LOG - INFO - Epoch: 184/500 average psnr: 49.0437199  bestpsnr: 49.0551651, bestepoch: 182
2025-03-28 16:13:43,640 - LOG - INFO - Epoch: 186/500 average psnr: 49.0006947  bestpsnr: 49.0551651, bestepoch: 182
2025-03-28 16:18:22,391 - LOG - INFO - Epoch: 188/500 average psnr: 49.0691425  bestpsnr: 49.0691425, bestepoch: 188
2025-03-28 16:23:02,753 - LOG - INFO - Epoch: 190/500 average psnr: 49.0578793  bestpsnr: 49.0691425, bestepoch: 188
2025-03-28 16:27:38,532 - LOG - INFO - Epoch: 192/500 average psnr: 48.7869080  bestpsnr: 49.0691425, bestepoch: 188
2025-03-28 16:32:20,529 - LOG - INFO - Epoch: 194/500 average psnr: 48.9634274  bestpsnr: 49.0691425, bestepoch: 188
2025-03-28 16:37:01,607 - LOG - INFO - Epoch: 196/500 average psnr: 49.0314354  bestpsnr: 49.0691425, bestepoch: 188
2025-03-28 16:41:40,193 - LOG - INFO - Epoch: 198/500 average psnr: 49.0873138  bestpsnr: 49.0873138, bestepoch: 198
2025-03-28 16:46:15,052 - LOG - INFO - Epoch: 200/500 average psnr: 48.6823757  bestpsnr: 49.0873138, bestepoch: 198
2025-03-28 16:50:52,019 - LOG - INFO - Epoch: 202/500 average psnr: 48.7689030  bestpsnr: 49.0873138, bestepoch: 198
2025-03-28 16:55:32,695 - LOG - INFO - Epoch: 204/500 average psnr: 48.8619099  bestpsnr: 49.0873138, bestepoch: 198
2025-03-28 17:00:05,166 - LOG - INFO - Epoch: 206/500 average psnr: 48.7824726  bestpsnr: 49.0873138, bestepoch: 198
2025-03-28 17:05:28,187 - LOG - INFO - Epoch: 208/500 average psnr: 48.5115261  bestpsnr: 49.0873138, bestepoch: 198
2025-03-28 17:10:19,525 - LOG - INFO - Epoch: 210/500 average psnr: 48.8713364  bestpsnr: 49.0873138, bestepoch: 198
2025-03-28 17:15:16,744 - LOG - INFO - Epoch: 212/500 average psnr: 48.8976955  bestpsnr: 49.0873138, bestepoch: 198
